lookback,entry,exit,stop_loss,top_n,rebal,tc,ann_ret,ann_vol,sharpe,max_dd,win_rate,n_trades
126,2.5,0.5,4.0,3,Daily,0% (no cost),0.05175566356248216,0.1691666651198277,0.3059448120338691,-0.3196736942203894,0.4888795635753252,555
20,2.5,0.0,4.0,10,2x/Month,0% (no cost),0.07010200095327458,0.23004261253137434,0.3047348496953525,-0.36363052391882167,0.5071225071225072,231
20,1.0,0.5,3.0,3,Monthly,0% (no cost),0.06203726312566066,0.20422736065722366,0.30376568020082456,-0.4475010552191956,0.5147382314122305,627
60,2.0,0.5,4.0,10,2x/Month,0% (no cost),0.053872554348720396,0.1791655237289781,0.3006859424038124,-0.3388745184523775,0.48817292006525287,688
20,2.5,0.0,3.0,3,2x/Month,0% (no cost),0.07044934892881165,0.23507061214146352,0.2996944121897118,-0.3449638520042073,0.5100154083204931,225
126,2.5,0.5,4.0,10,Daily,0% (no cost),0.050330985057885656,0.1685304783964828,0.29864618872959925,-0.30951245303751207,0.4884599244649601,559
60,1.5,0.5,4.0,3,Daily,0% (no cost),0.04516190511675551,0.15166645711508822,0.29777121438582527,-0.3283145535566898,0.49185004074979627,1545
20,1.5,0.5,4.0,3,Daily,0% (no cost),0.04402787124002699,0.14919108768855852,0.29511059891148905,-0.3644690059240099,0.4967923015236568,2225
20,2.5,0.0,4.0,3,2x/Month,0% (no cost),0.06752680946502242,0.23018190653880363,0.29336280370776613,-0.36363052391882356,0.5057142857142857,226
20,2.5,0.0,3.0,5,2x/Month,0% (no cost),0.06885354784027865,0.23540870512540218,0.29248513899942813,-0.344963852004208,0.5084745762711864,227
20,1.5,0.5,3.0,3,Daily,0% (no cost),0.0432135525484764,0.14790307930705565,0.29217479954398023,-0.3690891794732891,0.49799518845228546,2229
60,1.0,0.5,4.0,5,2x/Month,0% (no cost),0.043990393410542596,0.15076201247539697,0.29178698724071117,-0.32799809066326224,0.4924582144313086,1051
60,1.5,0.5,4.0,5,Daily,0% (no cost),0.04412247771045311,0.15146587125594352,0.29130309913773234,-0.33158181967801803,0.4910350448247759,1531
60,2.5,0.0,3.0,5,Daily,0% (no cost),0.047784436042663705,0.16477719558817963,0.28999423052501294,-0.37906160742679507,0.48817292006525287,906
20,2.5,0.0,4.0,5,2x/Month,0% (no cost),0.06636757966549152,0.23016101090502875,0.28835283354258795,-0.36363052391882167,0.5056980056980057,229
60,2.5,0.5,4.0,10,Monthly,0% (no cost),0.07477742507936234,0.2601136833985284,0.2874797823103888,-0.3640106269907948,0.5081888246628131,189
60,2.5,0.5,3.0,3,Daily,0% (no cost),0.049699105865464444,0.1733407531636879,0.28671333750657546,-0.3991379771914726,0.49286005711954306,937
60,1.5,0.5,4.0,10,Daily,0% (no cost),0.04327263082384145,0.15173663168960086,0.2851824924673552,-0.3292188753698956,0.4906275468622657,1527
60,2.0,0.0,4.0,5,Daily,0% (no cost),0.044382414349173706,0.15579947042826034,0.2848688395870389,-0.3248480013912388,0.48859005704971475,1255
60,1.5,0.0,4.0,5,Monthly,0% (no cost),0.051397131851286505,0.18149518864370187,0.2831872967838592,-0.4079439494107615,0.4895875867701103,591
60,1.0,0.0,3.0,10,Monthly,0% (no cost),0.04492063008551723,0.15910780532280797,0.28232826161092106,-0.31235979219168264,0.4820408163265306,883
126,2.5,0.5,3.0,5,Daily,0% (no cost),0.04849330410471393,0.17238230805147575,0.28131253521813365,-0.36551176826037957,0.4897188417960554,557
60,2.0,0.0,4.0,10,Daily,0% (no cost),0.043967492187670085,0.15633856837990248,0.2812325368160539,-0.3271609593378262,0.4889975550122249,1250
20,1.5,0.0,3.0,3,Monthly,0% (no cost),0.0602666809679209,0.21528349067630165,0.27994102463963366,-0.3990648897151178,0.5091324200913242,515
60,1.5,0.5,3.0,5,Daily,0% (no cost),0.04213778694538786,0.15062937245603744,0.27974482173246895,-0.33653740804346033,0.4910350448247759,1549
126,2.5,0.5,3.0,10,Daily,0% (no cost),0.047842028968937994,0.17123159131776025,0.27939954654836985,-0.319571872480778,0.48804028535459504,557
60,2.5,0.5,3.0,5,2x/Month,0% (no cost),0.056517970919978476,0.20273006637486374,0.27878435562425324,-0.34599809397125003,0.4892022917584839,376
60,1.5,0.0,3.0,3,2x/Month,0% (no cost),0.041463946436994914,0.15091775664432774,0.27474531399717395,-0.2710224382591765,0.48308194048104364,867
20,2.0,0.0,3.0,5,Daily,0% (no cost),0.04272117843172622,0.1561528442976298,0.2735856565654288,-0.3729969715123209,0.5028067361668003,1936
20,1.5,0.5,3.0,5,Daily,0% (no cost),0.04083565956858303,0.14948935507383862,0.2731676750388863,-0.36297477843008075,0.495990376904571,2202
60,2.5,0.5,4.0,3,Monthly,0% (no cost),0.0773272011580441,0.2831950547081778,0.27305279478741945,-0.46348769521231536,0.5115115115115115,183
60,1.5,0.5,3.0,3,Monthly,0% (no cost),0.04279262906258349,0.15706582416386605,0.272450288217621,-0.335679555882056,0.5004187604690117,512
20,1.5,0.5,4.0,5,Daily,0% (no cost),0.04070470500362177,0.14985962370341513,0.27161889238544884,-0.36089758295598395,0.4955894145950281,2201
60,2.0,0.5,4.0,3,2x/Month,0% (no cost),0.04859157258348934,0.17903784616448218,0.271403916124238,-0.38383226880089893,0.49755301794453505,627
60,2.0,0.0,4.0,3,Daily,0% (no cost),0.04218464143367314,0.15550636516072922,0.27127276359441416,-0.324600582864385,0.48818255908720454,1257
20,1.0,0.5,4.0,3,Monthly,0% (no cost),0.05456955004583089,0.2035976897577602,0.26802637157011727,-0.4227211627610753,0.5135135135135135,624
126,2.5,0.5,4.0,5,Daily,0% (no cost),0.04597869009617176,0.17183976878062215,0.2675672251099807,-0.3339576236976929,0.4884599244649601,555
20,1.5,0.5,3.0,10,Monthly,0% (no cost),0.05675735635555138,0.21220709311071795,0.2674621075269078,-0.45104985640934137,0.5097864768683275,698
126,1.0,0.5,4.0,10,2x/Month,0% (no cost),0.040525069696577216,0.15235750484003419,0.2659866984506342,-0.2359757414682665,0.48216533780948384,800
20,2.0,0.0,4.0,10,Daily,0% (no cost),0.041799121636829265,0.15753603300126742,0.2653305459106805,-0.3828822508130959,0.5040096230954291,1928
20,2.0,0.0,3.0,10,Daily,0% (no cost),0.04171682748511003,0.15744216888525045,0.26496603661192425,-0.37894334092582815,0.5040096230954291,1929
60,2.0,0.5,4.0,5,2x/Month,0% (no cost),0.04722008105826126,0.17945489735252312,0.263130634799571,-0.3670546288329112,0.4910277324632953,671
60,2.0,0.0,4.0,10,Monthly,0% (no cost),0.04944166550714386,0.18799975748107012,0.26298792173772984,-0.4455065836229727,0.4897034596375618,422
126,1.0,0.5,3.0,3,Daily,0% (no cost),0.037390567753606184,0.14218140927618328,0.26297789523928605,-0.2861555679730725,0.4870184254606365,1296
126,2.5,0.5,3.0,3,Daily,0% (no cost),0.045383193289949345,0.172587826349501,0.26295709407710816,-0.35505461979431807,0.48762064624422996,560
126,1.5,0.5,4.0,5,2x/Month,0% (no cost),0.04476437061003874,0.1709872556093167,0.2617994566350571,-0.2733713698355088,0.48758939840134624,639
126,2.5,0.5,4.0,5,2x/Month,0.1% (realistic),0.0575591911681598,0.22095770864208258,0.26049867878290145,-0.3741437056842294,0.47617039223956137,296
20,2.0,0.0,3.0,3,Monthly,0% (no cost),0.06524532507932354,0.2505983686299767,0.26035813974376715,-0.2704015168782168,0.519208381839348,322
20,2.0,0.0,3.0,10,Monthly,0% (no cost),0.062282398741251147,0.23928172207056678,0.26028899408741046,-0.2687825099412958,0.5092644581695677,374
